Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
511086,CIFCO Finance Limited,CIFCO,CIFCO FINANCE LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
511092,JMD Ventures Limited,JMDVL,JMD Ventures Ltd,Active,XT,10.00,INE047E01031,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
511096,"Tivoli Construction Ltd.,",TVOLCON,TIVOLI CONSTRUCTION LTD.,Active,XT,10.00,INE747V01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
511106,"Nivena Estate And Finance, Ltd.,",NIVEF,NIVENA ESTATE AND FINANCE LTD.,Delisted,Z ,10.00,INE678D01019, ,Equity,-,-,-,-
511108,Shiva Texyarn Ltd.,SHIVATEX,SHIVA TEXYARN LTD.,Active,T ,10.00,INE705C01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
511110,V.B.Desai Financial Services Ltd,VBDESAI,V.B.DESAI FINANCIAL SERVICES LTD.,Active,XT,10.00,INE848D01018,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
511114,Valuemart Retail Solutions Limited,VALUEMAR,VALUEMART RETAIL SOLUTIONS LTD ,Delisted,Z ,10.00,INE800F01014, ,Equity,-,-,-,-
511116,Quadrant Televentures Limited,QUADRANT,Quadrant Televentures Limited-$,Active,XT,1.00,INE527B01020,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
511122,"First Custodian Fund (India) Ltd.,",1STCUS,FIRST CUSTODIAN FUND (INDIA) LTD.,Active,X ,10.00,INE609B01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511126,"Dugar Finance India Ltd.,",DUGARFNDM,DUGAR FINANCE INDIA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
511128,"Galaxy Consolidated Finance Ltd.,",GALAXCP,GALAXY CONSOLIDATED FINANCE LTD.,Delisted,ZP,10.00,NA          , ,Equity,-,-,-,-
511131,Kamanwala Housing Construction Ltd,KAMANWALA,KAMANWALA HOUSING CONSTRUCTION LTD.,Active,XT,10.00,INE344D01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
511138,Kothari World Finance Limited,KOTHARIFIN,KOTHARI WORLD FINANCE LTD.,Delisted,XT,10.00,INE988F01017, ,Equity,-,-,-,-
511139,"Bajrang Finance Ltd.,",BAJRFIN,BAJRANG FINANCE LTD.,Delisted,XT,10.00,INE507J01017,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
511141,"Santogen Exports Ltd.,",SANEX,SANTOGEN EXPORTS LTD.,Delisted,P ,10.00,INE452D01019, ,Equity,-,-,-,-
511144,Asya Infosoft Limited,ASYAINFO,Asya Infosoft Limited,Suspended,Z ,10.00,INE520G01016,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
511147,WSFX Global Pay Limited,WSFX,WSFx Global Pay Ltd,Active,X ,10.00,INE549D01012,Financial Technology (Fintech),Equity,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
511149,"Remi Securities Ltd.,",REMITR,REMI SECURITIES LTD.,Delisted,XT,10.00,INE592J01019,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
511153,Anjani Foods Limited,ANJANIFOODS,Anjani Foods Ltd,Active,X ,2.00,INE096I01021,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
511158,South Asian Financial Exch. Ltd,SAFIN,SOUTH ASIAN FINANCIAL EXCHANGE LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
511164,Shriram Investments Ltd,SHRIRAMI,SHRIRAM INVESTMENTS LTD.,Delisted,B ,10.00,INE401A01012, ,Equity,-,-,-,-
511167,"Elcon Finlease & Industries Ltd.,",ELCONFN,ELCON FINLEASE & INDUSTRIES LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
511169,RKD AGRI & RETAIL LIMITED,RKDAGRRTL,RKD Agri & Retail Ltd,Suspended,XT,1.00,INE552N01023,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
511176,Parshwanath Corporation Limited,PARSHWANA,PARSHWANATH CORPORATION LTD.,Active,XT,10.00,INE635I01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
511180,Shoppers Investment & Finance Co. L,SHOPINV-B,SHOPPERS INVESTMENT & FINANCE CO.LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
511185,RAJVI LOGITRADE LIMITED,RAJVI,Rajvi Logitrade Ltd,Active,XT,10.00,INE381N01019,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
511187,Millennium Online Solutions (India) Ltd,MILLENNIUM,Millennium Online Solutions ( India ) Ltd,Active,X ,1.00,INE570N01025,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
511190,Canshare (Unit of CANBANK),ZCANSHR,CANSHARE,Delisted,Z ,100.00,NA          , ,Equity,-,-,-,-
511194,"ICDS Ltd.,",ICDSLTD,ICDS LTD.,Active,T ,10.00,INE613B01010,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
511196,"Can Fin Homes Ltd.,",CANFINHOME,CAN FIN HOMES LTD.,Active,A ,2.00,INE477A01020,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
511200,Munoth Capital Market Ltd,MUNCAPM,MUNOTH CAPITAL MARKET LTD.,Active,XT,5.00,INE910G01027,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
511208,IL & FS Investment Managers Ltd.,IVC,IL&FS INVESTMENT MANAGERS LTD.,Active,B ,2.00,INE050B01023,Asset Management Company,Equity,Financial Services,Financial Services,Capital Markets,Asset Management Company
511210,Basil Infrastructure Projects Limited,BASILINF,BASIL INFRASTRUCTURE PROJECTS LTD.,Delisted,Z ,10.00,INE465D01011, ,Equity,-,-,-,-
511214,"Leafin India Ltd.,",LEAFIN,LEAFIN INDIA LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
511218,Shriram Finance Limited,SHRIRAMFIN,Shriram Finance Ltd,Active,A ,10.00,INE721A01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511224,Candouble (Unit of CANBANK),CANDBLE,CANDOUBLE,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
511231,Tata Finance Ltd,TATAFIN,TATA FINANCE LTD.,Delisted,B ,10.00,INE265A01011, ,Equity,-,-,-,-
511243,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Active,A ,2.00,INE121A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511246,BOMBAY TALKIES LIMITED,BOMTALKIES,Bombay Talkies Ltd,Active,XT,1.00,INE910D01024,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
511254,Sagar Systech Ltd.,SAGARSYST,SAGAR SYSTECH LTD.,Active,XT,10.00,INE771Z01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511260,ID INFO BUSINESS SERVICES LTD.,IDINFO,ID Info Business Services Ltd,Active,XT,10.00,INE088P01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
511262,GIC Rise I (Reg)   open ended not.58909/2000,GICRISE,GICRISE,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
511263,GIC Rise I-(Cum) open ended not.58909/2000,GICRIBO,GICRIBO,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
511264,"Nedungadi Bank Ltd.,",NEDBKDM,NEDUNGADI BANK LTD.,Delisted,B ,10.00,INE586A01010, ,Equity,-,-,-,-
511270,KMF Limited,KKUMTFN,KMF LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
511272,CFL Capital Financial Services Ltd.,CEATFIN,CFL CAPITAL FINANCIAL SERVICES LTD.,Delisted,T ,10.00,INE481A01014, ,Equity,-,-,-,-
511274,Kirloskar Investment & Finance Ltd.,KIRIF,KIRLOSKAR INVESTMENTS & FINANCE LTD.,Delisted,Z ,10.00,INE195B01018, ,Equity,-,-,-,-
511276,Mefcom Agro Industries Ltd,MEFCOM,MEFCOM AGRO INDUSTRIES LTD.,Delisted,Z ,10.00,INE188C01011,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
511286,CRB Capital Markets Ltd.,CRBCAP-B1,CRB CAPITAL MARKETS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
511288,GRUH Finance Ltd,GRUH,GRUH FINANCE LTD.,Delisted,B ,2.00,INE580B01029, ,Equity,-,-,-,-
511296,Global Finance Corporation ltd.,GLOBFIN,GFC SECURITIES & FINANCE LTD.,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
511306,Pal Credit & Capital Ltd.,PALCRED,PAL CREDIT & CAPITAL LTD.,Delisted,XT,1.00,INE983B01025,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511310,Premium International Finance ltd.,PREMINT,PREMIUM INTERNATIONAL FINANCE LTD.,Delisted,P ,10.00,-, ,Equity,-,-,-,-
511314,GIC Big Value (Cum),GICCUBN,GICCUBN,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
511320,Radico Khaitan Finance Ltd.,RADKHFI,RADICO KHAITAN FINANCE LTD.,Delisted,B ,10.00,INE146D01017, ,Equity,-,-,-,-
511324,Ind Moti,INDMOTI,INDMOTI,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
511325,"Alpic Finance Ltd.,",ALPICFIN,ALPIC FINANCE LTD.,Delisted,B ,10.00,INE429A01013, ,Equity,-,-,-,-
511333,VLS Finance Limited,VLSFINANCE,VLS FINANCE LTD.,Active,B ,10.00,INE709A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
511335,Sanmac Motor Finance Ltd,SANMACDM,SANMAC MOTOR FINANCE LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
511339,Apple Credit Corporation Ltd,APPLECREDT,APPLE CREDIT CORPORATION LTD.,Delisted,XT,10.00,INE212A01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511343,Ucil Leasing Ltd,UCILLEA,UCIL LEASING LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
511347,Synergy Financial Exchange Limited,SYNRGFN,SYNERGY FINANCIAL EXCHANGE LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
