Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
513121,Oricon Enterprises Ltd.,ORICONENT,ORICON ENTERPRISES LTD.-$,Active,B ,2.00,INE730A01022,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
513129,"Gujarat Wedge Wire Screens Ltd.,",GUJWDGE,GUJARAT WEDGE WIRE SCREENS LTD.,Delisted,P ,10.00,INE090J01014, ,Equity,-,-,-,-
513131,Metalman Industries Ltd,METAI,METALMAN INDUSTRIES LTD.,Delisted,XD,10.00,INE689B01010, ,Equity,-,-,-,-
513134,"Pioneer Alloy Castings Ltd.,",PIOALOY,PIONEER ALLOY CASTINGS LTD.,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
513142,BALASORE ALLOYS LTD,BALASORE,BALASORE ALLOYS LTD.,Delisted,Z ,5.00,INE135A01024,Ferro & Silica Manganese,Equity,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
513149,"Acrow (India) Ltd.,",ACROW,ACROW INDIA LTD.,Active,X ,10.00,INE950D01012,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
513151,"STI India Ltd.,",STINDIA,STI INDIA LTD.,Delisted,Z ,10.00,INE090C01019,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
513153,TechTrek India Limited,TECHTREK,TECHTREK INDIA LTD.,Suspended,XT,10.00,INE892N01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
513158,"Sri Ramkrishna Steel Indus. Ltd.,",SRAMSTLDM,SRI RAMKRISHNA STEEL INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
513173,Steel Strips Infrastructures Limited,STLSTRINF,STEEL STRIPS INFRASTRUCTURES LTD.,Active,X ,10.00,INE205F01016,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
513175,Steelage Industries Ltd,STELAGE-B,STEELAGE INDUSTRIES LTD.,Delisted,Z ,12.00,-, ,Equity,-,-,-,-
513178,"R.G. Ispat Ltd.,",ZRGISPAT,R.G.ISPAT LTD.,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
513179,National Steel & Agro Industries Ltd.,NATNLSTEEL,NATIONAL STEEL & AGRO INDUSTRIES LTD.,Delisted,T ,10.00,INE088B01015,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
513181,K.R. Steel Union Ltd,KRSTLDM,K.R.STEEL UNION LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
513188,"Annapurna Foils Ltd.,",ANNFODM,ANNAPURNA FOILS LTD.,Delisted,B ,10.00,INE566C01018, ,Equity,-,-,-,-
513198,MEK Slotted Angles (India) Ltd,MEKSOLT,MEK SLOTTED ANGLES (INDIA) LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
513199,G.M. Mittal Stainless Ltd,GMMITAL,G.M.MITTAL STAINLESS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
513203,Anupama Steel Ltd,ANUPAST,ANUPAMA STEEL LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
513207,"Hoganas India Ltd.,",HOGANDM,HOGANAS INDIA LTD.,Delisted,B ,10.00,INE132A01013, ,Equity,-,-,-,-
513212,RMI Steels Ltd,RMISTEL,RMI STEELS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
513216,Uttam Galva Steels Ltd.,UTTAMSTL,UTTAM GALVA STEELS LTD.,Delisted,T ,10.00,INE699A01011,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
513223,"Shri Ishar Alloy Steels Ltd.,",SRIISHR,SHRI ISHAR ALLOY STEELS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
513228,"Pennar Industries Ltd.,",PENIND,PENNAR INDUSTRIES LTD.-$,Active,B ,5.00,INE932A01024,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
513235,Indian Charge Chrome Ltd,INDCHR,INDIAN METALS & FERRO ALLOYS LTD.,Delisted,Z ,10.00,INE801B01011, ,Equity,-,-,-,-
