Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
526753,Kriptol Industries Limited,KRIPIND,KRIPTOL INDUSTRIES LTD.,Delisted,XT,10.00,INE477C01034,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
526755,Velan Hotels Ltd.,VELHO,VELAN HOTELS LTD.,Active,X ,10.00,INE548D01014,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
526757,Ganapati Exports Ltd.,GANPTMSDM,GANAPATI EXPORTS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526759,Via Media India Ltd.,VIAMEDI,VIA MEDIA INDIA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526761,Howard Hotels Limited,HOWARHO,HOWARD HOTELS LTD.,Active,XT,10.00,INE931B01016,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
526763,Multilac Surface Coating (i) Ltd.,MULTILA,MULTILAC SURFACE COATING (I) LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526767,Southern Fuel Ltd.,SOUTHFUEL,SOUTHERN FUEL LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
526773,Pressure Sensitive Systems (India),PRESSURS,PRESSURE SENSITIVE SYSTEMS (INDIA) LTD.,Active,X ,1.00,INE891E01024,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
526775,Valiant Communications Ltd.,VALIANT,VALIANT COMMUNICATIONS LTD.-$,Active,XT,10.00,INE760B01019,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
526777,New Plastomers India Ltd.,NWPLAMS,NEW PLASTOMERS INDIA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526779,Hinafil India Ltd.,HINAFIL,HINAFIL INDIA LTD.,Delisted,X ,1.00,INE120F01025, ,Equity,-,-,-,-
526783,Dr.Agarwals Eye Hospital Ltd.,DRAGARWQ,DR.AGARWALS EYE HOSPITAL LTD.-$,Active,X ,10.00,INE934C01018,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
526785,Crest Animation Studios Ltd.,CRESTANI,CREST ANIMATION STUDIOS LTD.,Delisted,Z ,10.00,INE774A01012, ,Equity,-,-,-,-
526787,Euro Marine Products Ltd.,EUROMMS,EURO MARINE PRODUCTS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526789,NOEL Agritech Ltd.,NOELA,NOEL AGRITECH LTD.,Delisted,P ,10.00,INE154C01013, ,Equity,-,-,-,-
526791,Indo Germa Products Ltd.,INGERMS,INDO-GERMA PRODUCTS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
526793,Arvind Rashayana Udyog Ltd.,ARVRAMS,ARVIND RASHAYANA UDYOG LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526795,Mahasagar Travels Ltd.,MHSGRMS,MAHASAGAR TRAVELS LTD.,Active,ZP,10.00,INE007G01014,Road Transport,Equity,Services,Services,Transport Services,Road Transport
526797,Greenply Industries Ltd,GREENPLY,GREENPLY INDUSTRIES LTD.,Active,B ,1.00,INE461C01038,Plywood Boards/ Laminates,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
526799,Union Quality Plastics Ltd.,UNQTYMI,UNION QUALITY PLASTICS LTD.,Active,X ,10.00,INE338N01019,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
526801,PSL Limited,PSL,PSL LTD.,Delisted,X ,10.00,INE474B01017,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
526803,Oberoi Plastics Ltd.,OBROIMSDM,OBEROI PLASTICS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526805,Ami Computers (i) Ltd.,AMICOMP,AMI COMPUTERS (I) LTD.,Delisted,XD,10.00,INE079B01014, ,Equity,-,-,-,-
526807,Seamec Ltd,SEAMECLTD,SEAMEC LTD.,Active,T ,10.00,INE497B01018,Shipping,Equity,Services,Services,Transport Services,Shipping
526811,Saatal Kattha & Chemicals Ltd.,SATALMS,SAATAL KATTHA & CHEMICALS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
526813,Raghunath International Ltd.,RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.,Active,XT,10.00,INE753B01014,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
526815,Rajdoot Paints Ltd.,RJPNTMS-B,RJPNTMS-B,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526817,Cheviot Co.Ltd.,CHEVIOT,CHEVIOT CO.LTD.-$,Active,B ,10.00,INE974B01016,Jute & Jute Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
526819,Translam Ltd.,TRNLMMS,TRANSLAM LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526821,Dai-Ichi Karkaria Ltd.,DAICHI,DAI-ICHI KARKARIA LTD.-$,Active,X ,10.00,INE928C01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
526823,Rajeswari Infrastructure Limited,RAJINFRA,Rajeswari Infrastructure Limited,Active,XT,10.00,INE016C01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
526827,Spice Islands Apparels ltd.,SPICEISL,SPICE ISLANDS APPARELS LTD.-$,Active,XT,10.00,INE882D01017,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
526829,Confidence Petroleum India Limited,CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.,Active,A ,1.00,INE552D01024,LPG/CNG/PNG/LNG Supplier,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
526831,Naina Semiconductor Ltd.,NAINAMS,NAINA SEMICONDUCTOR LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
526833,RAJENDRA CATERERS & CONFECTIONERS LIMITED,RACCL,Rajendra Caterers & Confectioners Ltd,Delisted,P ,10.00,INE151O01014,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
526835,Silktex Ltd.,SILKTEX,SILKTEX LTD.-$,Delisted,XT,10.00,INE056B01012, ,Equity,-,-,-,-
526837,Anusha International Ltd.,ANUSHMS,ANUSHA INTERNATIONAL LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526839,Shelter Infra Projects Limited,SIPL,SHELTER INFRA PROJECTS LTD.-$,Active,X ,10.00,INE413C01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
526841,Shakti Press Ltd.,SHAKTIPR,SHAKTI PRESS LTD.,Active,XT,10.00,INE794C01016,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
526843,Atlanta Devcon Limited,ATLANTADEV,Atlanta Devcon Limited,Delisted,Z ,10.00,INE590F01029,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
526847,Ashirwad Steels & Industries  Ltd.,ASHSI,ASHIRWAD STEELS & INDUSTRIES LTD.,Active,X ,10.00,INE338C01012,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
526849,Banaras Beads Ltd.,BANARBEADS,BANARAS BEADS LTD.,Active,B ,10.00,INE655B01011,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
526851,Arex Industries Ltd.,AREXMIS,AREX INDUSTRIES LTD.,Active,X ,10.00,INE480H01011,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
526853,Bilcare Ltd.,BI,BILCARE LTD.-$,Active,X ,10.00,INE986A01012,Healthcare Research- Analytics & Technology,Equity,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
526855,Madhumilan Fincorp Ltd.,MADHUFN,MADHUMILAN FINCORP LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526857,Majestic Industries Ltd.,MAJESIN,MAJESTIC INDUSTRIES LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
526859,ISF LIMITED,ISFL,ISF LIMITED,Active,X ,1.00,INE973B01026,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
526861,Rishi Laser  Ltd.,RISHILASE,RISHI LASER LTD.,Active,XT,10.00,INE988D01012,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
526863,M.B Industries Ltd.,MBINDUS,M.B INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526865,Jainco Projects (India) Ltd.,JAINCO,JAINCO PROJECTS (INDIA) LTD.,Active,XT,10.00,INE966C01010,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
526869,Kumbhat Financial Services Ltd.,KUMPFIN,KUMBHAT FINANCIAL SERVICES LTD.,Active,X ,10.00,INE795E01019,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
526871,Intec Capital Limited,INTECCAP,INTEC CAPITAL LTD.,Active,X ,10.00,INE017E01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
526873,Rajasthan Gases Ltd.,RAJGASES,RAJASTHAN GASES LTD.,Suspended,XT,3.00,INE184D01026,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
526875,SBI Magnum Global Fund 1994,MGGLOMF,MGGLOMF,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
526877,Siddheswari Garments Ltd.,SIDDHEGA,SIDDHESWARI GARMENTS LTD.,Active,XT,10.00,INE797C01019,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
526879,UT Ltd.,UTLTD,UT LTD.,Delisted,Z ,10.00,INE487C01017, ,Equity,-,-,-,-
526881,63 Moons Technologies Limited,63MOONS,63 Moons Technologies Ltd,Active,B ,2.00,INE111B01023,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
526883,Shikhar Consultants Ltd.,SHIKHAR,SHIKHAR CONSULTANTS LTD.,Suspended,X ,10.00,INE641B01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
526885,Sarla Performance Fibers Ltd,SARLAPOLY,SARLA PERFORMANCE FIBERS LTD.-$,Active,B ,1.00,INE453D01025,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
526887,Indo Credit Capital Ltd.,INDOCRED,INDO CREDIT CAPITAL LTD.,Suspended,XT,10.00,INE147D01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
