Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
524348,Aarti Drugs Limited,AARTIDRUGS,AARTI DRUGS LTD.,Active,A ,10.00,INE767A01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524350,Nacro Chemicals Limited,NACROCH,NACRO CHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524360,Solar Farmachem Ltd,SOLARFM,SOLAR FARMACHEM LTD.,Delisted,P ,10.00,-, ,Equity,-,-,-,-
524364,SPL Polymers Limited,SPLPOLY,SPL POLYMERS LTD.,Delisted,B ,10.00,INE615D01011, ,Equity,-,-,-,-
524368,Milestone Organic Ltd,MILEORG,MILESTONE ORGANICS LTD.,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
524370,Bodal Chemicals Ltd,BODALCHEM,BODAL CHEMICALS LTD.,Active,B ,2.00,INE338D01028,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
524372,Orchid Pharma Limited,ORCHPHARMA,Orchid Pharma Ltd,Active,B ,10.00,INE191A01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524374,EPIC Enzymes Pharmac. & Industrial,EPICENZY,EPIC ENZYMES PHARMACEUTICALS & INDUSTRIAL CHEMICALS LTD.-$,Delisted,XT,10.00,INE278A01014, ,Equity,-,-,-,-
524378,JMDE Packaging & Realties Limited,JMDEPACKR,JMDE PACKAGING & REALTIES LTD.,Delisted,XT,1.00,INE807C01024, ,Equity,-,-,-,-
524380,Janak Intermediates Ltd,JNAKINT,JNAKINT,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524382,Ratna Drugs Ltd.,RINADRG,RATNA DRUGS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524384,Omni Dye-Chem Exports Ltd.,OMNDE,OMNI DYE-CHEM EXPORTS LTD.,Delisted,Z ,10.00,INE529C01016, ,Equity,-,-,-,-
524386,Aminex Chemicals Ltd.,AMINXCHDM,AMINXCHDM,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524388,Crazy Infotech Ltd.,CRAZYINF,CRAZY INFOTECH LTD.,Delisted,Z ,1.00,INE664B01021,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
524390,Manav Pharma Ltd.,MHNAVPH,MANAV PHARMA LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524394,Vimta Labs Ltd.,VIMTALABS,VIMTA LABS LTD.-$,Active,B ,2.00,INE579C01029,Healthcare Research- Analytics & Technology,Equity,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
524396,Biofil Chemicals & Pharmaceuticals,BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.,Active,B ,10.00,INE829A01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524398,Damania Pharma Ltd.,DMNIAPH,DAMANIA PHARMA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524400,Ishita Drugs & Industries Ltd.,ISHITADR,ISHITA DRUGS & INDUSTRIES LTD.,Active,X ,10.00,INE806D01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524402,Maruti Organics Ltd.,MRUTIOR**,MARUTI ORGANICS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524404,Marksans Pharma Ltd.,MARKSANS,MARKSANS PHARMA LTD.,Active,A ,1.00,INE750C01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524406,Omega Laboratories Ltd.,OMEGALAB,OMEGA LABORATORIES LTD.,Delisted,XD,10.00,INE006E01011, ,Equity,-,-,-,-
524408,Universal Starch-Chem Allied Ltd.,UNIVSTAR,UNIVERSAL STARCH-CHEM ALLIED LTD.,Active,X ,10.00,INE113E01015,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
524410,SRHHL Industries Ltd,SRHHL,SRHHL INDUSTRIES LTD.,Delisted,B ,10.00,INE724B01023, ,Equity,-,-,-,-
524412,Aarey Drugs & Pharmaceuticals Ltd,AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LTD.,Active,T ,10.00,INE198H01019,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524414,Norris Medicines Ltd.,NORRIS,NORRIS MEDICINES LTD.,Active,XT,10.00,INE744C01029,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
524418,CDR Medical Industries Ltd.,CDRMEDI,CDR MEDICAL INDUSTRIES LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524424,Hi-Tech Drugs Ltd.,HITCHDR,HI-TECH DRUGS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524426,Silcal Metallurgical Ltd.,SILCAL,SILCAL METALLURGICAL LTD.,Delisted,XD,10.00,INE545D01010, ,Equity,-,-,-,-
524432,Karnav Leather Chemicals Ltd.,KARLECH,KARNAV LEATHER CHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524434,Asian Petroproducts & Exports Ltd.,ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.,Active,XT,10.00,INE810M01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
524438,Zora Pharma Ltd.,ZORAPHA,ZORA PHARMA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524440,Camex  Ltd.,CAMEXLTD,CAMEX LTD.,Active,X ,10.00,INE198C01010,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
524442,Rahi Chemicals Ltd.,RAHICEM,RAHI CHEMICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524444,EVEXIA LIFECARE LIMITED,EVEXIA,Evexia Lifecare Ltd,Active,XT,1.00,INE313M01030,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
524446,Sabero Organics Gujarat Ltd.,SABERORGAN,SABERO ORGANICS GUJARAT LTD.,Delisted,B ,10.00,INE243A01018, ,Equity,-,-,-,-
524448,"Ahlcon Parenterals (India) Ltd.,",AHLCONQ,AHLCON PARENTERALS (INDIA) LTD.,Delisted,B ,10.00,INE027C01011, ,Equity,-,-,-,-
524450,Orion Acids & Chemicals Ltd.,ORIACID,ORION ACIDS & CHEMICALS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524452,Sunstar Lubricants Ltd.,SUNSL,SUNSTAR LUBRICANTS LTD.,Delisted,Z ,10.00,INE120C01014, ,Equity,-,-,-,-
524456,Curefast Remedies Ltd.,CUREREM,CUREFAST REMEDIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524458,Indo Euro Indchem Limited,INDOEURO,INDO EURO INDCHEM LTD.,Active,X ,10.00,INE319N01019,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
524460,Richline Pharma Ltd.,RICHLNP,RICHLINE PHARMA LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
524462,Paam Drugs &Pharmaceuticals Ltd.,PAMDRGS,PAAM DRUGS & PHARMACEUTICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524464,Chemox Laboratories Ltd,CHEMLAB-B,CHEMOX LABORATORIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524466,Core Organics Ltd.,COREORG,CORE ORGANICS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524468,White Way Products (Pharma) Ltd.,WHITEPR,WHITE WAY PRODUCTS (PHARMA) LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524470,Syncom Formulations (India) Ltd.,SYNCOMF,SYNCOM FORMULATIONS (INDIA) LTD.-$,Active,T ,1.00,INE312C01025,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
524474,Hitech Orgochem Ltd.,HITECOR,HITECH ORGOCHEM LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
524476,Zillion Pharmachem Ltd.,ZILLOPH,ZILLION PHARMACHEM LTD.,Delisted,P ,10.00,INE845F01019, ,Equity,-,-,-,-
524478,Esskay Pharmaceuticals Ltd.,ESSPHRM,ESSKAY PHARMACEUTICALS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
