Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543754,TRANSVOY LOGISTICS INDIA LIMITED,TRANSVOY,Transvoy Logistics India Ltd,Active,M ,10.00,INE0MPU01011,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543763,Hira Automobiles Ltd.,BB1TEST7,Hira Automobiles Ltd,Delisted,T ,10.00,INE258Z01013, ,Equity,-,-,-,-
543764,"Oswal Leasing Ltd.,",BB2TEST7,Oswal Leasing Ltd,Delisted,T ,10.00,INE811Q01018, ,Equity,-,-,-,-
543765,Earthstahl & Alloys Limited,EARTH,Earthstahl & Alloys Ltd,Active,M ,10.00,INE0O4V01010,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
543766,Ashika Credit Capital Ltd.,ASHIKA,Ashika Credit Capital Ltd,Active,X ,10.00,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
543767,BODHI TREE MULTIMEDIA LIMITED,BTML,Bodhi Tree Multimedia Ltd,Active,B ,1.00,INE0EEJ01023,Digital Entertainment,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Digital Entertainment
543768,NMDC Steel Limited,NSLNISP,NMDC Steel Ltd,Active,A ,10.00,INE0NNS01018,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
543769,INDONG TEA COMPANY LIMITED,INDONG,Indong Tea Company Ltd,Active,M ,10.00,INE0KN201016,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
543774,HDFC Mutual Fund,HDFCBSE500,HDFC S&P BSE 500 ETF,Active,B ,23.86,INF179KC1EZ4, ,Equity,-,-,-,-
543775,HDFC Mutual Fund,HDFCSML250,HDFC NIFTY Smallcap 250 ETF,Active,B ,91.31,INF179KC1FB2, ,Equity,-,-,-,-
543776,HDFC Mutual Fund,HDFCMID150,HDFC NIFTY Midcap 150 ETF,Active,B ,11.60,INF179KC1HT0, ,Equity,-,-,-,-
543782,Sealmatic India Limited,SEALMATIC,Sealmatic India Ltd,Active,M ,10.00,INE0O4601016,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
543787,Macfos Limited,ROBU,Macfos Ltd,Active,M ,10.00,INE0OLH01013,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
543798,Patron Exim Limited,PATRON,Patron Exim Ltd,Active,MT,10.00,INE0NPA01011,Trading - Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
543799,S.V.J.ENTERPRISES LIMITED,SVJ,S. V. J. ENTERPRISES Ltd,Active,M ,10.00,INE0JZS01010,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
