SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ISFT,Intrasoft Technologies Limited,EQ,12-APR-2010,10,1,INE566K01011,10
ISGEC,Isgec Heavy Engineering Limited,EQ,05-MAY-2021,1,1,INE858B01029,1
ISMTLTD,ISMT Limited,EQ,28-AUG-2007,5,1,INE732F01019,5
ITC,ITC Limited,EQ,23-AUG-1995,1,1,INE154A01025,1
ITDC,India Tourism Development Corporation Limited,EQ,30-DEC-2016,10,1,INE353K01014,10
ITDCEM,ITD Cementation India Limited,EQ,10-FEB-1999,1,1,INE686A01026,1
ITI,ITI Limited,EQ,15-SEP-2003,10,1,INE248A01017,10
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999,2,1,INE050B01023,2
IVP,IVP Limited,BE,13-SEP-1995,10,1,INE043C01018,10
IWEL,Inox Wind Energy Limited,BE,11-JUN-2021,10,1,INE0FLR01028,10
IZMO,IZMO Limited,EQ,05-FEB-2007,10,1,INE848A01014,10
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1,1,INE168A01041,1
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006,2,1,INE199G01027,2
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,5,1,INE048B01027,5
JAIBALAJI,Jai Balaji Industries Limited,BE,09-DEC-2003,10,1,INE091G01018,10
JAICORPLTD,Jai Corp Limited,EQ,26-NOV-1997,1,1,INE070D01027,1
JAIPURKURT,Nandani Creation Limited,BE,02-SEP-2021,10,1,INE696V01013,10
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-DEC-2010,1,1,INE039C01032,1
JASH,Jash Engineering Limited,EQ,30-OCT-2019,10,1,INE039O01011,10
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-APR-1996,5,1,INE785A01026,5
JAYBARMARU,Jay Bharat Maruti Limited,EQ,03-JAN-1996,2,1,INE571B01036,2
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-MAY-1995,10,1,INE854B01010,10
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-FEB-1995,5,1,INE364A01020,5
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-APR-2003,1,1,INE572A01036,1
JBMA,JBM Auto Limited,EQ,17-DEC-2004,2,1,INE927D01044,2
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,03-JAN-2000,10,1,INE782A01015,10
JETAIRWAYS,Jet Airways (India) Limited,BZ,14-MAR-2005,10,1,INE802G01018,10
JETFREIGHT,Jet Freight Logistics Limited,EQ,21-DEC-2021,5,1,INE982V01025,5
JGCHEM,J.G.Chemicals Limited,EQ,13-MAR-2024,10,1,INE0MB501011,10
JHS,JHS Svendgaard Laboratories Limited,BE,21-OCT-2006,10,1,INE544H01014,10
JINDALPHOT,Jindal Photo Limited,EQ,07-APR-2005,10,1,INE796G01012,10
JINDALPOLY,Jindal Poly Films Limited,EQ,21-JAN-2002,10,1,INE197D01010,10
JINDALSAW,Jindal Saw Limited,EQ,29-APR-2003,2,1,INE324A01024,2
JINDALSTEL,Jindal Steel & Power Limited,EQ,29-DEC-1999,1,1,INE749A01030,1
JINDRILL,Jindal Drilling And Industries Limited,EQ,22-DEC-2006,5,1,INE742C01031,5
JINDWORLD,Jindal Worldwide Limited,EQ,25-NOV-2010,1,1,INE247D01039,1
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10,1,INE758E01017,10
JISLDVREQS,Jain Irrigation Systems Limited,EQ,30-NOV-2011,2,1,IN9175A01010,2
JISLJALEQS,Jain Irrigation Systems Limited,EQ,13-AUG-2001,2,1,INE175A01038,2
JITFINFRA,JITF Infralogistics Limited,BE,27-FEB-2017,2,1,INE863T01013,2
JKCEMENT,JK Cement Limited,EQ,14-MAR-2006,10,1,INE823G01014,10
JKIL,J.Kumar Infraprojects Limited,EQ,12-FEB-2008,5,1,INE576I01022,5
JKLAKSHMI,JK Lakshmi Cement Limited,EQ,19-JUN-2006,5,1,INE786A01032,5
JKPAPER,JK Paper Limited,EQ,16-JUN-2005,10,1,INE789E01012,10
JKTYRE,JK Tyre & Industries Limited,EQ,19-MAR-2007,2,1,INE573A01042,2
JLHL,Jupiter Life Line Hospitals Limited,EQ,18-SEP-2023,10,1,INE682M01012,10
JMA,Jullundur Motor Agency (Delhi) Limited,BE,16-MAR-2015,2,1,INE412C01023,2
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1,1,INE780C01023,1
JOCIL,Jocil Limited,EQ,08-OCT-2008,10,1,INE839G01010,10
JPASSOCIAT,Jaiprakash Associates Limited,EQ,14-JUN-2004,2,1,INE455F01025,2
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,10,1,INE147P01019,10
JPPOWER,Jaiprakash Power Ventures Limited,BE,18-APR-2005,10,1,INE351F01018,10
JSFB,Jana Small Finance Bank Limited,EQ,14-FEB-2024,10,1,INE953L01027,10
JSL,Jindal Stainless Limited,EQ,17-NOV-2003,2,1,INE220G01021,2
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10
JSWHL,JSW Holdings Limited,EQ,21-JUN-2005,10,1,INE824G01012,10
JSWINFRA,JSW Infrastructure Limited,EQ,03-OCT-2023,2,1,INE880J01026,2
JSWSTEEL,JSW Steel Limited,EQ,23-MAR-2005,1,1,INE019A01038,1
JTEKTINDIA,Jtekt India Limited,EQ,12-JAN-2004,1,1,INE643A01035,1
JTLIND,JTL INDUSTRIES LIMITED,EQ,12-JUN-2023,2,1,INE391J01024,2
JUBLFOOD,Jubilant Foodworks Limited,EQ,08-FEB-2010,2,1,INE797F01020,2
JUBLINDS,Jubilant Industries Limited,EQ,14-FEB-2011,10,1,INE645L01011,10
JUBLINGREA,Jubilant Ingrevia Limited,EQ,19-MAR-2021,1,1,INE0BY001018,1
JUBLPHARMA,Jubilant Pharmova Limited,EQ,16-JUN-2003,1,1,INE700A01033,1
JUNIPER,Juniper Hotels Limited,EQ,28-FEB-2024,10,1,INE696F01016,10
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10,1,INE599M01018,10
JWL,Jupiter Wagons Limited,EQ,18-OCT-2010,10,1,INE209L01016,10
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007,1,1,INE668F01031,1
JYOTI-RE,Jyoti Structures Ltd-RE,BE,15-APR-2024,2,1,INE197A20016,2
JYOTICNC,Jyoti CNC Automation Limited,EQ,16-JAN-2024,2,1,INE980O01024,2
JYOTISTRUC,Jyoti Structures Limited,BE,19-JUL-1995,2,1,INE197A01024,2
KABRAEXTRU,Kabra Extrusion Technik Limited,EQ,06-SEP-1995,5,1,INE900B01029,5
KAJARIACER,Kajaria Ceramics Limited,EQ,01-JUN-2004,1,1,INE217B01036,1
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,EQ,13-DEC-1995,10,1,INE437B01014,10
KALAMANDIR,Sai Silks (Kalamandir) Limited,EQ,27-SEP-2023,2,1,INE438K01021,2
KALYANI,Kalyani Commercials Limited,BE,13-FEB-2017,10,1,INE610E01010,10
KALYANIFRG,Kalyani Forge Limited,EQ,20-DEC-2007,10,1,INE314G01014,10
KALYANKJIL,Kalyan Jewellers India Limited,EQ,26-MAR-2021,10,1,INE303R01014,10
KAMATHOTEL,Kamat Hotels (I) Limited,EQ,29-MAY-1996,10,1,INE967C01018,10
KAMDHENU,Kamdhenu Limited,EQ,09-MAY-2006,10,1,INE390H01012,10
