Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
540080,Dhatre Udyog Limited,DHATRE,Dhatre Udyog Ltd,Active,T ,1.00,INE715T01031,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
540081,Sab Events & Governance Now Media Limited,SABEVENTS,SAB Events & Governance Now Media Ltd,Active,T ,10.00,INE860T01019,Electronic Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Electronic Media
540082,Riddhi Steel and Tube Limited,RSTL,Riddhi Steel and Tube Ltd,Active,M ,10.00,INE367U01013,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
540083,TV VISION LIMITED,TVVISION,TV Vision Ltd,Active,T ,10.00,INE871L01013,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
540084,Spicy Entertainment and Media Limited,SPICY,Spicy Entertainment and Media Ltd,Suspended,MT,10.00,INE592O01019,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
540097,Visco Trade Associates Ltd,VISCO,Visco Trade Associates Ltd,Active,XT,10.00,INE890S01018,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
540098,Aditya Birla Sun Life Mutual Fund,BSLRIFS1RG,Aditya Birla Sun Life RESURGENT INDIA FUND – SERIES 1 REGULAR GROWTH,Suspended,B ,10.00,INF209KB1499, ,Equity,-,-,-,-
540099,Aditya Birla Sun Life Mutual Fund,BSLRIFS1RD,Aditya Birla Sun Life RESURGENT INDIA FUND – SERIES 1 REGULAR DIVIDEND,Suspended,B ,10.00,INF209KB1507, ,Equity,-,-,-,-
540100,Aditya Birla Sun Life Mutual Fund,BSLRIFS1RS,BIRLA SUN LIFE RESURGENT INDIA FUND SERIES - 1 - REGULAR PLAN - DIVIDEND SWEEP,Suspended,B ,10.00,INF209KB1192, ,Equity,-,-,-,-
540101,Aditya Birla Sun Life Mutual Fund,BSLRIFS1DG,BIRLA SUN LIFE RESURGENT INDIA FUND SERIES - 1 - DIRECT PLAN - GROWTH,Suspended,B ,10.00,INF209KB1515, ,Equity,-,-,-,-
540102,Aditya Birla Sun Life Mutual Fund,BSLRIFS1DD,BIRLA SUN LIFE RESURGENT INDIA FUND SERIES - 1 - DIRECT PLAN - DIVIDEND PAYOUT,Suspended,B ,10.00,INF209KB1523, ,Equity,-,-,-,-
