Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
506123,"Nidhi Polyester Ltd.,",NIDHIPL,NIDHI POLYESTER LTD.,Delisted,T ,10.00,NA          , ,Equity,-,-,-,-
506128,Parnax Lab Limited,PARNAXLAB,PARNAX LAB LTD.,Active,XT,10.00,INE383L01019,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
506129,Nagarjuna Finance Ltd,NGRJFIN-B,NAGARJUNA FINANCE LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
506131,Indiaco Ventures Limited,INDIACO,INDIACO VENTURES LTD.,Delisted,Z ,2.00,INE064E01028, ,Equity,-,-,-,-
506134,Intellivate Capital Ventures Limited,INTELLCAP,INTELLIVATE CAPITAL VENTURES LTD.,Active,XT,1.00,INE512D01028,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
506140,"Hiramoti Finance Ltd.,",HIRAMFN,HIRAMOTI FINANCE LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506142,Vyapar Industries Ltd.,VYAPAR,VYAPAR INDUSTRIES LTD.,Delisted,X ,10.00,INE070G01012, ,Equity,-,-,-,-
506146,Visagar Polytex Ltd,VIVIDHA,VISAGAR POLYTEX LTD.,Active,T ,1.00,INE370E01029,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
506152,"Saraf Sons (Traders) Ltd.,",SARAFSO,SARAF SONS (TRADERS) LTD.,Delisted,P ,5.00,NA          , ,Equity,-,-,-,-
506154,"Gateway Holding & Trades, Ltd.,",GATEHLD,GATEWAY HOLDING & TRADES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506156,ETC Networks Ltd.,ETCNETWORK,ETC NETWORKS LTD.,Delisted,B ,10.00,INE421B01018, ,Equity,-,-,-,-
506159,ASIS LOGISTICS LIMITED,ASISL,ASIS LOGISTICS LIMITED,Suspended,XT,1.00,INE888E01020,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
506161,Ishwarshakti Holdings & Traders Ltd,ISHWATR,ISHWARSHAKTI HOLDINGS & TRADERS LTD.,Active,XT,10.00,INE073I01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
506162,Terraform Magnum Limited,TERRAFORM,TERRAFORM MAGNUM LTD.,Active,P ,10.00,INE122V01010,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
506164,Brindaban Holdings & Trading Ltd.,BRINDHL,BRINDABAN HOLDINGS & TRADING LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
506166,Apis India Ltd,APIS,APIS INDIA LTD.,Active,XT,10.00,INE070K01014,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
506169,Nashville Investment & Trading Co.,NASHINV,NASHVILLE INVESTMENT & TRADING CO.,Delisted,Z ,10.00,INE747F01017, ,Equity,-,-,-,-
506170,"Hiran Orgachem Ltd.,",HIRAN,HIRAN ORGOCHEM LTD.-$,Delisted,Z ,10.00,INE546E01016, ,Equity,-,-,-,-
506172,"Sampada Chemicals Ltd.,",ZSAMPACH,SAMPADA CHEMICALS LTD.,Delisted,XT,10.00,INE040K01017, ,Equity,-,-,-,-
506174,"Jatayu Textiles & Industries Ltd.,",ZJTYUTXL,JATAYU TEXTILES & INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506176,Susmit Trading Ltd.,SUSMITR,SUSMIT TRADING LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506178,VELOX INDUSTRIES LIMITED,VELOXIND,Velox Industries Ltd,Active,XT,10.00,INE092P01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
506180,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,EMERGENT,Emergent Industrial Solutions Ltd,Active,XT,10.00,INE668L01013,Trading - Metals,Equity,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
506184,Kanani Industries Ltd,KANANIIND,KANANI INDUSTRIES LTD.,Active,T ,1.00,INE879E01037,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
506186,GALAXY CLOUD KITCHENS LIMITED,GCKL,Galaxy Cloud Kitchens Ltd-$,Active,X ,10.00,INE403B01016,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
506190,"Sarvamangal Mercantile Co. Ltd.,",ZSARVAMA,SARVAMANGAL MERCANTILE CO.LTD.,Active,XT,10.00,INE978L01016,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
506192,"Sushree Trading Limited,",ZSUSHRTR,SUSHREE TRADING LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506194,Arihant Superstructures Limited,ARIHANTSUP,Arihant Superstructures Limited,Active,B ,10.00,INE643K01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
506196,Viksit Engineering Ltd,VIKSHEN,VIKSIT ENGINEERING LTD.,Active,XT,10.00,INE965V01012,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
506197,Bliss GVS Pharma Limited,BLISSGVS,BLISS GVS PHARMA LTD.,Active,B ,1.00,INE416D01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
506198,Mertinez Entex Industries Ltd,MRTENTI,MERTINEZ ENTEX INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506222,Styrenix Performance Materials Limited,STYRENIX,Styrenix Performance Materials Ltd,Active,B ,10.00,INE189B01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
506225,"Adarsh Chemicals & Fertilisers,Ltd.",ADARCHM,ADARSH CHEMICALS & FERTILIZERS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
506230,Rhodia Specialty Chemicals India Ltd.,RHODIA,RHODIA SPECIALTY CHEMICALS INDIA LTD.-$,Delisted,T ,10.00,INE255B01010, ,Equity,-,-,-,-
506235,Alembic  Ltd,ALEMBICLTD,ALEMBIC LTD.,Active,B ,2.00,INE426A01027,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
506245,"Amar Dye-Chem Ltd.,",AMRDYCMDM,AMAR DYE-CHEM LTD.,Delisted,Z ,100.00,NA          , ,Equity,-,-,-,-
506248,Amines & Plasticizers Ltd,AMNPLST,AMINES & PLASTICIZERS LTD.,Active,B ,2.00,INE275D01022,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
506260,"Anuh Pharma Ltd.,",ANUHPHR,ANUH PHARMA LTD.,Active,X ,5.00,INE489G01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
506261,MODISON LIMITED,MODISONLTD,Modison Ltd-$,Active,B ,1.00,INE737D01021,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
506265,Arlabs Ltd,ARLABS,ARLABS LTD.,Delisted,P ,10.00,-, ,Equity,-,-,-,-
506267,"Assam Petro-Chemicals Ltd.,",ASSAPET,ASSAM PETROCHEMICALS LTD.,Delisted,XD,10.00,INE277D01010, ,Equity,-,-,-,-
506275,"Barium Chemicals Ltd.,",BARIUMC,BARIUM CHEMICALS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
506285,Bayer CropScience Limited.,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A ,10.00,INE462A01022,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
506313,Sashwat Technocrats Limited,SASHWAT,Sashwat Technocrats Limited,Active,P ,10.00,INE789D01014,Other Construction Materials,Equity,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials
506315,"Borax Morarji Ltd.,",BORAX,BORAX MORARJI LTD.,Delisted,XT,10.00,INE658B01015, ,Equity,-,-,-,-
506345,"Cellulose Products of India Ltd.,",CELUPRO,CELLULOSE PRODUCTS OF INDIA LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
506353,"Chemiequip Ltd.,",CHMEQUP,CHEMIEQUIP LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506355,"Chemplast Sanmar Ltd.,",CHEMPLAST,CHEMPLAST SANMAR LTD.,Delisted,T ,1.00,INE488A01027, ,Equity,-,-,-,-
506365,"Chemo Pharma Laboratories Ltd.,",CHEMOPH,CHEMO PHARMA LABORATORIES LTD.,Active,XT,10.00,INE320M01019,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
506370,"Citric India Ltd.,",CITRIND,CITRIC INDIA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
506373,"Citurgia Biochemicals Ltd.,",CITURGIA,CITURGIA BIOCHEMICALS LTD.,Suspended,B ,2.00,INE795B01031,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
506390,Heubach Colorants India Limited,HEUBACHIND,Heubach Colorants India Ltd,Active,B ,10.00,INE492A01029,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
506395,Coromandel International Limited,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,Active,A ,1.00,INE169A01031,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
506401,Deepak Nitrite Limited,DEEPAKNTR,DEEPAK NITRITE LTD.-$,Active,A ,2.00,INE288B01029,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
506405,DMCC SPECIALITY CHEMICALS LIMITED,DMCC,DMCC Speciality Chemicals Ltd,Active,B ,10.00,INE505A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
506414,FERMENTA BIOTECH LIMITED,FERMENTA,Fermenta Biotech Ltd,Active,X ,5.00,INE225B01021,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
