SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
OFSS,Oracle Financial Services Software Limited,EQ,28-JUN-2002,5,1,INE881D01027,5
OIL,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10
OILCOUNTUB,Oil Country Tubular Limited,BE,30-AUG-1995,10,1,INE591A01010,10
OLECTRA,Olectra Greentech Limited,EQ,20-MAR-2002,4,1,INE260D01016,4
OMAXAUTO,Omax Autos Limited,BE,20-FEB-2003,10,1,INE090B01011,10
OMAXE,Omaxe Limited,EQ,09-AUG-2007,10,1,INE800H01010,10
OMINFRAL,OM INFRA LIMITED,EQ,17-JUN-2011,1,1,INE239D01028,1
OMKARCHEM,Omkar Speciality Chemicals Limited,BZ,10-FEB-2011,10,1,INE474L01016,10
ONELIFECAP,Onelife Capital Advisors Limited,BE,17-OCT-2011,10,1,INE912L01015,10
ONEPOINT,One Point One Solutions Limited,BE,09-MAY-2019,2,1,INE840Y01029,2
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5
ONMOBILE,OnMobile Global Limited,EQ,19-FEB-2008,10,1,INE809I01019,10
ONWARDTEC,Onward Technologies Limited,EQ,07-MAR-2001,10,1,INE229A01017,10
OPTIEMUS,Optiemus Infracom Limited,EQ,08-AUG-2017,10,1,INE350C01017,10
ORBTEXP,Orbit Exports Limited,EQ,05-NOV-2013,10,1,INE231G01010,10
ORCHPHARMA,Orchid Pharma Limited,EQ,02-NOV-2020,10,1,INE191A01027,10
ORICONENT,Oricon Enterprises Limited,EQ,24-JUL-2015,2,1,INE730A01022,2
ORIENTALTL,Oriental Trimex Limited,BE,07-MAR-2007,10,1,INE998H01012,10
ORIENTBELL,Orient Bell Limited,EQ,14-FEB-2007,10,1,INE607D01018,10
ORIENTCEM,Orient Cement Limited,EQ,12-JUL-2013,1,1,INE876N01018,1
ORIENTCER,ORIENT CERATECH LIMITED,EQ,15-DEC-2005,1,1,INE569C01020,1
