Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
517222,B.S. Refrigerators Ltd.,BPLREF,B.S.REFRIGERATORS LTD.,Delisted,B ,10.00,INE313A01019, ,Equity,-,-,-,-
517224,Sujana Universal Industries Ltd.,SUJANAUNI,SUJANA UNIVERSAL INDUSTRIES LTD.-$,Delisted,T ,10.00,INE216G01011,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products
517228,Trend Electronics Limited,TRENDELEC,TREND ELECTRONICS LTD.-$,Suspended,Z ,10.00,INE219F01017,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
517230,PAE LTd.,PAEL,PAE LTD.,Suspended,XT,10.00,INE766A01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
517236,"Calcom Vision Ltd.,",CALCOM,CALCOM VISION LTD.,Active,X ,10.00,INE216C01010,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
517238,Dynavision Limited,DYNAVSN,DYNAVISION LTD.,Active,X ,10.00,INE083E01010,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
517244,Hindustan Powerplus Ltd.,HINDPOW,HINDUSTAN POWERPLUS LTD.,Delisted,B ,10.00,INE554A01018, ,Equity,-,-,-,-
517246,"BCC Fuba India Ltd.,",BCCFUBA,BCC FUBA INDIA LTD.,Active,X ,10.00,INE788D01016,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
517248,BST Ltd.,BST,BST LTD.,Delisted,B ,10.00,INE389A01019, ,Equity,-,-,-,-
517250,Integra India Group Company Limited,INTEGRA,Integra India Group Company Limited,Delisted,B ,10.00,INE288D01017, ,Equity,-,-,-,-
517254,Professional Circuit Boards Ltd.,PROFCIR,PROFESSIONAL CIRCUIT BOARDS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517258,"Precision Electronics Ltd.,",PRECISIO,PRECISION ELECTRONICS LTD.,Active,XT,10.00,INE143C01024,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
517264,Fine-line Circuits Ltd.,FINELINE,FINE-LINE CIRCUITS LTD.,Active,XT,10.00,INE087E01011,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
517266,Protech Electromech Ltd,PRTHELE,PROTECH ELECTROMECH LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517269,"Namtech Electronic Devices Ltd.,",NAMTECHELE,NAMTECH ELECTRONIC DEVICES LTD.,Delisted,XD,10.00,INE607C01010, ,Equity,-,-,-,-
517271,HBL Power Systems Ltd.,HBLPOWER,HBL POWER SYSTEMS LTD.-$,Active,A ,1.00,INE292B01021,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
517273,"S & S Power Switchgears Ltd.,",S&SPOWER,S&S POWER SWITCHGEAR LTD.,Active,T ,10.00,INE902B01017,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
517275,Surya Murphy Richards Ltd.,SRYMRPH,SURYA MURPHY RICHARDS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517277,Intron Ltd,INTRODM,INTRON LTD.,Delisted,B ,10.00,INE151C01019, ,Equity,-,-,-,-
517280,Vijay Industries & Projects Ltd.,VIJAYIND,VIJAY INDUSTRIES & PROJECTS LTD.,Delisted,XT,10.00,INE226D01017, ,Equity,-,-,-,-
517282,"Transpower Engineering Ltd.,",TRNSPEN,TRANSPOWER ENGINEERING LTD.,Delisted,P ,10.00,-, ,Equity,-,-,-,-
517284,"V.P.Telecom Ltd.,",VPPOLYC,V.P.TELECOM LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517286,"Autopal Industries Ltd.,",AUTOPAL,AUTOPAL INDUSTRIES LTD.,Suspended,P ,10.00,INE335Q01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
517288,Gujarat Poly Electronics Limited,GUJARATPOLY,Gujarat Poly Electronics Ltd,Active,X ,10.00,INE541F01022,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
517296,Phoenix Lamps Limited,PHOENIXLL,Phoenix Lamps Limited,Delisted,B ,10.00,INE455B01016, ,Equity,-,-,-,-
517300,Gujarat Industries Power Co. Ltd,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,Active,B ,10.00,INE162A01010,Power Generation,Equity,Utilities,Power,Power,Power Generation
517304,Madras Hi-tech Circuits Ltd,MDHITCH,MADRAS HI-TECH CIRCUITS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
517312,"Elcaps Capcitors Ltd.,",ELCAPCP,ELCAPS CAPACITORS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517314,Salzer Controls Limited.,SALZCNTDM,SALZER CONTROLS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517318,Indo Asian Fusegear Ltd.,INDOASFU,INDO ASIAN FUSEGEAR LTD.,Delisted,B ,10.00,INE814A01016, ,Equity,-,-,-,-
517320,Savant Infocomm Limited,SAVINFOCO,SAVANT INFOCOMM LTD.,Suspended,XT,10.00,INE898E01011,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
517326,"CMC Limited,",CMC,CMC LTD.,Delisted,A ,10.00,INE314A01017, ,Equity,-,-,-,-
517328,Supreme Conductors Ltd.,SPRMCON,SUPREME CONDUCTORS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517330,CMI Limited,CMICABLES,CMI LTD.,Suspended,Z ,10.00,INE981B01011,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
517332,Mukati Transformers Limit,MUKATITDM,MUKATI TRANSFORMERS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517334,Samvardhana Motherson International Limited,MOTHERSON,Samvardhana Motherson International Ltd,Active,A ,1.00,INE775A01035,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
517336,Modern Malleables Limited,MODMA,MODERN MALLEABLES LTD.,Suspended,P ,1.00,INE834C01028,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
517340,Mintage  Electro Equipments Ltd.,MINTAGE,MINTAGE ELECTRO EQUIPMENTS LTD.,Delisted,X ,10.00,INE726C01018, ,Equity,-,-,-,-
517344,Mindteck (India) Ltd,MINDTECK,MINDTECK (INDIA) LTD.,Active,B ,10.00,INE110B01017,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
517346,Purvi Electronics Ltd.,PURVIEL,PURVI ELECTRONICS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517348,Digital World India Ltd.,DIGIWRDDM,DIGITAL WORLD INDIA LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
517352,Eider Electronic Industries Ltd.,EIDRELE,EIDER ELECTRONICS INDUSTRIES LTD.,Delisted,P ,10.00,INE053C01017, ,Equity,-,-,-,-
517354,Havells India Limited,HAVELLS,HAVELLS INDIA LTD.,Active,A ,1.00,INE176B01034,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
517356,ACI Infocom Ltd.,ACIIN,ACI INFOCOM LTD.,Active,XT,1.00,INE167B01025,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
