Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
521228,Tatia Global Vennture Limited,TATIAGLOB,TATIA GLOBAL VENNTURE LTD.,Active,XT,1.00,INE083G01031,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
521230,Goldwon Textiles Ltd.,GOLDTXT,GOLDWON TEXTILES LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
521232,"Sunil Industries Ltd.,",SUNILTX,SUNIL INDUSTRIES LTD.,Active,P ,10.00,INE124M01015,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
521234,Sri Nachammai Cotton Mills Ltd.,SRINACHA,SRI NACHAMMAI COTTON MILLS LTD.-$,Active,X ,10.00,INE443E01016,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
521236,Sri Ganapathy Mills Co. Ltd.,SROGNGM,SRI GANAPATHY MILLS CO.LTD.,Delisted,XT,10.00,INE488F01018, ,Equity,-,-,-,-
521238,KKRRAFTON Developers Limited,KDL,KKRRAFTON Developers Ltd,Active,XT,10.00,INE893C01032,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
521240,Sambandam Spinning Mills Ltd.,SAMBANDAM,SAMBANDAM SPINNING MILLS LTD.-$,Active,X ,10.00,INE304D01012,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
521242,Kandagiri Spinning Mills Ltd.,KANDAGIRI,KANDAGIRI SPINNING MILLS LTD.-$,Active,XT,10.00,INE292D01019,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
521244,MKP Mobility Limited,MKPMOB,MKP Mobility Ltd,Active,XT,10.00,INE676G01024,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
521246,Paras Petrofils Ltd.,PARASPETRO,PARAS PETROFILS LTD.,Active,T ,1.00,INE162C01024,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
521248,Kitex Garmenets Ltd.,KITEX,KITEX GARMENTS LTD.,Active,B ,1.00,INE602G01020,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
521250,Sree Uma Parameswari Mills Ltd.,SRUMATX,SREE UMA PARAMESWARI MILLS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
521252,Radhika Spinning Mills Ltd.,RADHIKAS,RADHIKA SPINNING MILLS LTD.,Delisted,XD,10.00,INE938B01011, ,Equity,-,-,-,-
522001,"Cranex Ltd.,",CRANEX,CRANEX LTD.,Active,X ,10.00,INE608B01010,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522004,Batliboi Ltd,BATLIBOI,BATLIBOI LTD.-$,Active,XT,5.00,INE177C01022,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522005,"Austin Engineering Co. Ltd.,",AUSTENG,AUSTIN ENGINEERING CO.LTD.,Active,X ,10.00,INE759F01012,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522014,"United Drilling Tools Ltd.,",UNIDT,UNITED DRILLING TOOLS LTD.,Active,B ,10.00,INE961D01019,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522015,VCCL Ltd.,VCCLLTD,VCCL LTD.,Delisted,ZP,10.00,INE460E01010,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
522017,"Fluidomat Ltd.,",FLUIDOM,FLUIDOMAT LTD.,Active,X ,10.00,INE459C01016,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522027,Ema India Ltd.,EMAINDIA,EMA INDIA LTD.,Active,XT,10.00,INE279D01016,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522029,Windsor Machines Limited,WINDMACHIN,WINDSOR MACHINES LTD.,Active,B ,2.00,INE052A01021,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522034,"Shanthi Gears Ltd.,",SHANTIGEAR,SHANTHI GEARS LTD.,Active,B ,1.00,INE631A01022,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522036,Miven Machine Tools Ltd.,MIVENMACH,MIVEN MACHINE TOOLS LTD.,Active,XT,10.00,INE338P01014,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522041,Continental Valve Ltd,CNTLVAL,CONTINENTAL VALVE LTD.,Delisted,Z ,10.00,INE465F01016, ,Equity,-,-,-,-
522042,S.M. Energy Teknik & Electronics Lt,SMENER,S.M.ENERGY TEKNIK & ELECTRONICS LTD.,Suspended,XT,10.00,INE540D01011,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
522045,Aturia Continental ltd.,ATURIAC,ATURIA CONTINENTAL LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
522055,"Bemco Jacks & Allied Prod. Ltd.,",BEMCOJK,BEMCO JACKS & ALLIED PRODUCTS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
522056,Sachs India Ltd.,SACHI,SACHS INDIA LTD.,Delisted,P ,10.00,INE337D01012, ,Equity,-,-,-,-
522059,Indage Vintners Ltd,INDAGEVIN,INDAGE VINTNERS LTD.-$,Delisted,X ,10.00,INE194C01019, ,Equity,-,-,-,-
