Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
531506,Shukra Bullions Limited,SKRABUL,SHUKRA BULLIONS LTD.,Active,XT,10.00,INE561E01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
531507,SOM Phytopharma (I) Ltd.,SOMPHYT,SOM PHYTOPHARMA (I) LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
531508,Eveready Industries India Ltd.,EVEREADY,EVEREADY INDUSTRIES INDIA LTD.,Active,A ,5.00,INE128A01029,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
531509,Step Two Corporation Ltd.,STEP2COR,STEP TWO CORPORATION LTD.,Active,XT,10.00,INE623D01015,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
531510,Lintas Mercantile Ltd.,LINTAS,LINTAS MERCANTILE LTD.,Delisted,XD,10.00,INE702D01017, ,Equity,-,-,-,-
531511,Nevtia Spinners Ltd.,NEVTIAS,NEVTIA SPINNERS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
531512,Orient Tradelink Ltd.,ORIENTTR,ORIENT TRADELINK LTD.,Active,X ,10.00,INE681D01039,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
531513,Arihant Classic Finance Ltd.,ARIHCLAF,ARIHANT CLASSIC FINANCE LTD.,Delisted,B ,10.00,INE763C01011, ,Equity,-,-,-,-
531514,Aasheesh Securities Ltd.,AASHEESH,AASHEESH SECURITIES LTD.,Delisted,X ,10.00,INE174C01011, ,Equity,-,-,-,-
531515,Mahan Industries Ltd.,MAHANIN,MAHAN INDUSTRIES LTD.,Active,XT,10.00,INE735D01033,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
