SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1,1,INE148O01028,1
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-JUN-2011,10,1,INE726L01019,10
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1,1,INE124G01033,1
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,10,1,INE393A01011,10
DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10
DENORA,De Nora India Limited,EQ,07-AUG-1997,10,1,INE244A01016,10
DEVIT,Dev Information Technology Limited,EQ,15-FEB-2022,5,1,INE060X01026,5
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1,1,INE872J01023,1
DGCONTENT,Digicontent Limited,EQ,18-JUN-2019,2,1,INE03JI01017,2
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10
DHANBANK,Dhanlaxmi Bank Limited,BE,01-APR-2004,10,1,INE680A01011,10
DHANI,Dhani Services Limited,EQ,02-APR-2008,2,1,INE274G01010,2
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2,1,INE435G01025,2
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10,1,INE00OQ01016,10
DHRUV,Dhruv Consultancy Services Limited,BE,25-NOV-2021,10,1,INE506Z01015,10
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10,1,INE320L01011,10
DIACABS,Diamond Power Infrastructure Limited,BE,15-SEP-2023,10,1,INE989C01020,10
DIAMINESQ,Diamines & Chemicals Limited,EQ,25-SEP-2023,10,1,INE591D01014,10
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5
DICIND,DIC India Limited,EQ,30-AUG-1995,10,1,INE303A01010,10
DIGIDRIVE,Digidrive Distributors Limited,BE,10-JAN-2024,10,1,INE0PSC01024,10
DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-MAY-2008,3,1,INE927C01020,3
DIGJAMLMTD,Digjam Limited,BE,18-OCT-2021,10,1,INE731U01028,10
DIL,Debock Industries Limited,EQ,31-MAR-2022,10,1,INE411Y01011,10
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023,5,1,INE753U01022,5
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2,1,INE935N01020,2
DJML,DJ Mediaprint & Logistics Limited,EQ,05-DEC-2022,10,1,INE0B1K01014,10
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2,1,INE250K01012,2
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10,1,INE505A01010,10
