Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
530857,Garg Forgings & Castings Ltd.,GARGFOR,GARG FORGINGS & CASTINGS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
530859,Cosboard Industries Ltd.,COSBOARD,COSBOARD INDUSTRIES LTD.,Suspended,Z ,10.00,INE496D01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
530861,Asiatic Infrastructure & Shelters l,ASINFRA,ASIATIC INFRASTRUCTURE & SHELTERS LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
530863,FE (India) Ltd,FEINDIALTD,FE (India) Ltd,Delisted,Z ,10.00,INE708C01016, ,Equity,-,-,-,-
530865,Dhanashree Electronics Ltd.,DHANELE,DHANASHREE ELECTRONICS LTD.,Delisted,Z ,10.00,INE413F01016, ,Equity,-,-,-,-
530867,SFL International Limited,SFLINTER,SFL International Ltd,Delisted,Z ,10.00,INE320C01010,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
530869,Praman Capital Market Services Ltd.,PRAMANC,PRAMAN CAPITAL MARKET SERVICES LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
530871,Chembond Chemicals Ltd.,CHEMBOND,CHEMBOND CHEMICALS LTD.-$,Active,B ,5.00,INE995D01025,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
530875,Girish Hotel Resorts & Health Farm,GIRHOTE,GIRISH HOTELRESORTS & HEALTH FARM LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
530877,"Model Financial Corporation Ltd.,",MODFC,MODEL FINANCIAL CORPORATION LTD.,Delisted,Z ,10.00,INE166B01019, ,Equity,-,-,-,-
530879,CAPITAL INDIA FINANCE LIMITED,CIFL,Capital India Finance Ltd,Active,X ,10.00,INE345H01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
530881,Arunjyoti Bio Ventures Limited ,ABVL,Arunjyoti Bio Ventures Ltd,Active,XT,10.00,INE485K01014,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
530883,Super Crop Safe Ltd.,SUCROSA,SUPER CROP SAFE LTD.,Active,XT,2.00,INE366G01022,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
530885,FIVE CORE EXIM LIMITED,FIVECORE,Five Core Exim Ltd,Delisted,Z ,2.00,INE600D01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
530887,Incap Financial Services Ltd.,INCFS,INCAP FINANCIAL SERVICES LTD.,Delisted,XT,10.00,INE800D01019, ,Equity,-,-,-,-
530889,Alka India Ltd.,ALKA,ALKA INDIA LTD.,Suspended,XT,1.00,INE061B01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
530891,RKB Agro Industries Limited,RKB,RKB Agro Industries Limited,Suspended,XT,10.00,INE740A01013,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
530893,Moulik Finance And Resorts Ltd.,MOULIKF,MOULIK FINANCE & RESORTS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
530897,N.G.Industries Ltd.,NGIND,N.G.INDUSTRIES LTD.-$,Active,X ,10.00,INE825C01018,Healthcare Service Provider,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
530899,Asia Pack Ltd.,ASIAPAK,ASIA PACK LTD.,Active,X ,10.00,INE784M01016,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
530901,ACIL Cotton Industries Limited,ACIL,ACIL Cotton Industries Limited,Delisted,Z ,1.00,INE066C01035,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
530905,Sai Industries Ltd.,SAINDUS,SAI INDUSTRIES LTD.,Suspended,ZP,10.00,INE213S01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
530907,S.I.Capital And Financial Services,SICAPIT,SI CAPITAL & FINANCIAL SERVICES LTD.,Active,X ,10.00,INE417F01017,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
530909,ERP Soft Systems Ltd.,ERPSOFT,ERP SOFT SYSTEMS LTD.,Active,XT,10.00,INE308B01017,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
530911,Indo Britain Agro Farms Ltd.,INDOBRIT,INDO BRITAIN AGRO FARMS LTD.,Delisted,XD,10.00,INE145C01011, ,Equity,-,-,-,-
530913,Shri Bhagvati Bright Bars Ltd.,SHBHAGV,SHRI BHAGAVATI BRIGHT BARS LTD.,Delisted,P ,10.00,-, ,Equity,-,-,-,-
