SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
MAGADSUGAR,Magadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE347W01011,10
MAGNUM,Magnum Ventures Limited,EQ,20-SEP-2007,10,1,INE387I01016,10
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,10,1,INE457A01014,10
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998,10,1,INE843B01013,10
MAHASTEEL,Mahamaya Steel Industries Limited,BE,01-JUL-2016,10,1,INE451L01014,10
MAHEPC,Mahindra EPC Irrigation Limited,EQ,14-FEB-2020,10,1,INE215D01010,10
MAHESHWARI,Maheshwari Logistics Limited,EQ,15-APR-2019,10,1,INE263W01010,10
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10
MAHLOG,Mahindra Logistics Limited,EQ,10-NOV-2017,10,1,INE766P01016,10
MAHSCOOTER,Maharashtra Scooters Limited,EQ,08-FEB-1995,10,1,INE288A01013,10
MAHSEAMLES,Maharashtra Seamless Limited,EQ,25-AUG-2004,5,1,INE271B01025,5
MAITHANALL,Maithan Alloys Limited,EQ,05-JUL-2011,10,1,INE683C01011,10
MALLCOM,Mallcom (India) Limited,EQ,02-FEB-2022,10,1,INE389C01015,10
MALUPAPER,Malu Paper Mills Limited,BE,05-APR-2006,10,1,INE383H01017,10
MANAKALUCO,Manaksia Aluminium Company Limited,BE,30-MAR-2015,1,1,INE859Q01017,1
MANAKCOAT,Manaksia Coated Metals & Industries Limited,EQ,30-MAR-2015,1,1,INE830Q01018,1
MANAKSIA,Manaksia Limited,EQ,08-JAN-2008,2,1,INE015D01022,2
MANAKSTEEL,Manaksia Steels Limited,BE,30-MAR-2015,1,1,INE824Q01011,1
MANALIPETC,Manali Petrochemicals Limited,EQ,06-DEC-2006,5,1,INE201A01024,5
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2
MANGALAM,Mangalam Drugs And Organics Limited,EQ,23-MAY-2005,10,1,INE584F01014,10
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,EQ,22-OCT-2007,10,1,INE558B01017,10
MANGLMCEM,Mangalam Cement Limited,EQ,03-JAN-1996,10,1,INE347A01017,10
MANINDS,Man Industries (India) Limited,BE,24-JUN-2005,5,1,INE993A01026,5
MANINFRA,Man Infraconstruction Limited,EQ,11-MAR-2010,2,1,INE949H01023,2
MANKIND,Mankind Pharma Limited,EQ,09-MAY-2023,1,1,INE634S01028,1
MANOMAY,Manomay Tex India Limited,BE,18-JAN-2023,10,1,INE784W01015,10
MANORAMA,Manorama Industries Limited,EQ,01-JUL-2022,2,1,INE00VM01036,2
MANORG,Mangalam Organics Limited,EQ,02-NOV-2021,10,1,INE370D01013,10
MANUGRAPH,Manugraph India Limited,BE,14-SEP-2006,2,1,INE867A01022,2
MANYAVAR,Vedant Fashions Limited,EQ,16-FEB-2022,1,1,INE825V01034,1
MAPMYINDIA,C.E. Info Systems Limited,EQ,21-DEC-2021,2,1,INE0BV301023,2
