Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
538772,Niyogin Fintech Limited,NIYOGIN,Niyogin Fintech Ltd,Active,X ,10.00,INE480D01010,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
538777,ASIA CAPITAL LIMITED,ASIACAP,Asia Capital Ltd,Active,XT,10.00,INE131Q01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
538778,Kalyan Capitals Limited,KALYANCAP,Kalyan Capitals Ltd,Active,X ,2.00,INE149Q01021,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
538786,Citizen Infoline Ltd.,CIL,Citizen Infoline Ltd,Suspended,XT,10.00,INE473L01018,Print Media,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Print Media
538787,Goenka Business & Finance Limited,GBFL,Goenka Business & Finance Ltd,Active,X ,10.00,INE997C01015,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
538788,Gilada Finance & Investments Ltd.,GILADAFINS,Gilada Finance & Investments Ltd,Active,X ,5.00,INE918C01029,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
538789,BUDGE BUDGE COMPANY LIMITED,BUDGE BUDGE,Budge Budge Company Ltd,Delisted,XT,10.00,INE948C01026,Jute & Jute Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
538793,TEJ INFOWAYS LIMITED,TEJINFOWAY,Tej Infoways Ltd,Delisted,Z ,10.00,INE530C01014,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
538794,Jet Infraventure Limited,JETINFRA,Jet Infraventure Ltd,Active,M ,10.00,INE155R01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
538795,Shree Ajit Pulp And Paper Ltd,SAPPL,Shree Ajit Pulp And Paper Ltd,Active,XT,10.00,INE185C01017,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
538808,DSP Mutual Fund,D3YRCEERG,DSP BlackRock 3 Years Close Ended Equity Fund-Regular- Growth,Delisted,B ,10.00,INF740KA1CY3, ,Equity,-,-,-,-
538809,DSP Mutual Fund,D3YRCEERDP,DSP BlackRock 3 Years Close Ended Equity Fund-Regular- Dividend Payout,Delisted,B ,10.00,INF740KA1CZ0, ,Equity,-,-,-,-
538810,DSP Mutual Fund,D3YRCEEDG,DSP BlackRock 3 Years Close Ended Equity Fund- Direct Plan - Growth,Delisted,B ,10.00,INF740KA1DA1, ,Equity,-,-,-,-
538811,DSP Mutual Fund,D3YRCEEDDP,DSP BlackRock 3 Years Close Ended Equity Fund-Direct Plan - Dividend Payout,Suspended,B ,10.00,INF740KA1DB9, ,Equity,-,-,-,-
538812,Aanchal Ispat Limited,AANCHALISP,Aanchal Ispat Ltd,Suspended,XT,10.00,INE322R01014,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
538817,Captain Pipes Limited,CAPPIPES,Captain Pipes Ltd,Active,B ,1.00,INE513R01026,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
538818,SBI Mutual Fund,SEOFIIGR,SBI Equity Opportunities Fund - Series II-Regular Plan -Growth,Delisted,B ,10.00,INF200K018Y7, ,Equity,-,-,-,-
538819,SBI Mutual Fund,SEOFIIDR,SBI Equity Opportunities Fund - Series II-Regular Plan- Dividend Payout,Delisted,B ,10.00,INF200K019Y5, ,Equity,-,-,-,-
538820,SBI Mutual Fund,SEOFIIGD,SBI Equity Opportunities Fund - Series II-Direct Plan -Growth,Delisted,B ,10.00,INF200K010Z1, ,Equity,-,-,-,-
