SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,market_cap
SOFTTECH,Softtech Engineers Limited,BE,25-FEB-2022,10,1,INE728Z01015,10,12819140
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-JUN-2018,10,1,INE624Z01016,10,35996267
SOLARINDS,Solar Industries India Limited,EQ,03-APR-2006,2,1,INE343H01029,2,90490055
SOMANYCERA,Somany Ceramics Limited,EQ,22-NOV-1995,2,1,INE355A01028,2,41003620
SOMATEX,Soma Textiles & Industries Limited,EQ,14-AUG-1996,10,1,INE314C01013,10,33033000
SOMICONVEY,Somi Conveyor Beltings Limited,BE,18-JUL-2016,10,1,INE323J01019,10,11779656
SONACOMS,Sona BLW Precision Forgings Limited,EQ,24-JUN-2021,10,1,INE073K01018,10,586447778
SONAMLTD,SONAM LIMITED,EQ,07-APR-2022,10,1,INE00LM01011,10,20016000
SONATSOFTW,Sonata Software Limited,EQ,28-JUL-1999,1,1,INE269A01021,1,280424816
SOTL,Savita Oil Technologies Limited,EQ,28-JUN-1995,2,1,INE035D01020,2,69100415
SOUTHBANK,The South Indian Bank Limited,EQ,08-DEC-1998,1,1,INE683A01023,1,2615926272
SOUTHWEST,South West Pinnacle Exploration Limited,EQ,18-APR-2019,10,1,INE980Y01015,10,27902400
SPAL,S. P. Apparels Limited,EQ,12-AUG-2016,10,1,INE212I01016,10,25092600
SPANDANA,Spandana Sphoorty Financial Limited,EQ,19-AUG-2019,10,1,INE572J01011,10,71177169
SPARC,Sun Pharma Advanced Research Company Limited,BE,18-JUL-2007,1,1,INE232I01014,1,324521588
SPCENET,Spacenet Enterprises India Limited,EQ,10-JAN-2017,1,1,INE970N01027,1,549230874
SPECIALITY,Speciality Restaurants Limited,EQ,30-MAY-2012,10,1,INE247M01014,10,48097657
SPENCERS,Spencer's Retail Limited,EQ,25-JAN-2019,5,1,INE020801028,5,90132009
SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,10-JAN-1996,10,1,INE147A01011,10,186848536
SPLIL,SPL Industries Limited,EQ,26-JUL-2005,10,1,INE978G01016,10,29000004
SPLPETRO,Supreme Petrochem Limited,EQ,24-MAY-2022,2,1,INE663A01033,2,188041342
SPMLINFRA,SPML Infra Limited,EQ,14-FEB-1996,2,1,INE937A01023,2,48977926
SPORTKING,Sportking India Limited,EQ,24-AUG-2022,10,1,INE885H01011,10,12707200
SPYL,Shekhawati Poly-Yarn Limited,BE,12-JAN-2011,1,1,INE268L01020,1,344700000
SREEL,Sreeleathers Limited,EQ,01-JAN-2014,10,1,INE099F01013,10,23155012
SRF,SRF Limited,EQ,18-AUG-2003,10,1,INE647A01010,10,296424825
SRGHFL,SRG Housing Finance Limited,EQ,21-AUG-2023,10,1,INE559N01010,10,13300000
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,08-MAY-2007,10,1,INE917H01012,10,17164821
SRM,SRM Contractors Limited,EQ,03-APR-2024,10,1,INE0R6Z01013,10,
SRPL,Shree Ram Proteins Limited,BE,23-SEP-2020,1,1,INE008Z01020,1,214200000
SSWL,Steel Strips Wheels Limited,EQ,06-JUN-2005,1,1,INE802C01033,1,156929325
STAR,Strides Pharma Science Limited,EQ,02-FEB-2000,10,1,INE939A01011,10,91899714
