Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
501144,"Peoples Investments Ltd.,",PEOPLIN,PEOPLES INVESTMENTS LTD.,Active,XT,10.00,INE644U01015,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
501146,"Bhavi Investments Ltd.,",ZBHAVIIN,BHAVI INVESTMENTS LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
501148,"Dalal Street Investments Ltd.,",DSINVEST,DALAL STREET INVESTMENTS LTD.,Active,XT,10.00,INE422D01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
501150,Centrum Capital Limited,CENTRUM,CENTRUM CAPITAL LTD.,Active,B ,1.00,INE660C01027,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
501151,"Kartik Investments Trust Ltd.,",KARTKIN,KARTIK INVESTMENTS TRUST LTD.,Suspended,XT,10.00,INE524U01019,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
501154,"Rose Investments Ltd.,",ROSEI,ROSE INVESTMENTS LTD.,Delisted,P ,10.00,INE383D01016, ,Equity,-,-,-,-
501178,Suryodaya Investment & Trading Co.,ZSURYODI,SURYODAYA INVESTMENT & TRADING COMPANY LTD.,Delisted,ZP,10.00,NA          , ,Equity,-,-,-,-
501179,"Oscar Investments Ltd.,",OSCAR,OSCAR INVESTMENTS LTD.,Delisted,Z ,10.00,INE221D01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
501209,Maestros Mediline Systems Ltd.,MAESTROM,MAESTROS MEDILINE SYSTEMS LTD.-$,Delisted,XT,10.00,INE408E01027, ,Equity,-,-,-,-
501233,Bhagyodaya Infrastructure Development Ltd,BIDL,Bhagyodaya Infrastructure Development Ltd,Delisted,P ,10.00,INE876D01019, ,Equity,-,-,-,-
501242,TCI Finance Limited,TCIFINANCE,TCI FINANCE LTD.,Suspended,T ,10.00,INE911B01018,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
501254,"Sagar Investments Ltd.,",SAGARIN,SAGAR INVESTMENTS LTD.,Delisted,Z ,10.00,-, ,Equity,-,-,-,-
501261,Kratos Energy & Infrastructure Limited,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,Active,XT,10.00,INE567L01017,Consulting Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services
501267,Shree Rani Sati Investments & Fin.L,SHRERAN,SHREE RANI SATI INVESTMENT & FINANCE LTD.,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
501270,ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH,Antariksh Industries Ltd,Active,XT,10.00,INE825M01017,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
501295,"Industrial Investment Trust Ltd.,",IITL,INDUSTRIAL INVESTMENT TRUST LTD.,Active,B ,10.00,INE886A01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
501298,Industrial & Prudential Inv. Co. Lt,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Active,X ,10.00,INE620D01011,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
501301,"Tata Investment Corporation Ltd.,",TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,T ,10.00,INE672A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
501311,"Jayabharat Credit Ltd.,",JAYBHCR,JAYABHARAT CREDIT LTD.-$,Active,XT,10.00,INE998D01011,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
