Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002,ABB India Limited,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
500004,Torrent Power AEC Limited,TPAEC,TORRENT POWER AEC LTD.,Delisted,B ,10.00,INE424A01014, ,Equity,-,-,-,-
500005,"Akar Laminators Ltd.,",AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,XD,10.00,INE984C01013, ,Equity,-,-,-,-
500006,Alpha Drugs India Ltd,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,B ,10.00,INE256B01026, ,Equity,-,-,-,-
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1.00,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.00,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Delisted,A ,2.00,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
500011,Amrut Industries Ltd,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,Z ,10.00,NA          , ,Equity,-,-,-,-
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X ,10.00,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Suspended,Z ,5.00,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10.00,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
500015,ICICI Ltd.,ICICIDM,ICICI LTD.,Delisted,B ,10.00,INE005A01011, ,Equity,-,-,-,-
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,XT,10.00,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500018,Arvind Polycot Limited,ARPOLDM,ARPOLDM,Delisted,B ,10.00,INE035A01018, ,Equity,-,-,-,-
500019,Bank Of Rajasthan Ltd.,BOR,BANK OF RAJASTHAN LTD.,Delisted,B ,10.00,INE320A01014, ,Equity,-,-,-,-
