Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
542160,ICICI Prudential Mutual Fund,IPRU9420,ICICI Prudential Bharat Consumption Fund - Series 5 -  Direct Plan - Cumulative Option,Suspended,B ,10.00,INF109KC1NQ9, ,Equity,-,-,-,-
542163,ICICI Prudential Mutual Fund,IPRU9421,ICICI Prudential Bharat Consumption Fund - Series 5 -  Direct Plan - Dividend Payout  Option,Suspended,B ,10.00,INF109KC1NR7, ,Equity,-,-,-,-
542168,"Oriental Carbon & Chemicals Ltd.,",ORIENTBBPH,ORIENTBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
542176,Aryan Share & Stock Brokers Ltd.,ARYAN,Aryan Share and Stock Brokers Ltd,Active,X ,10.00,INE016X01010,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
542206,NIVAKA FASHIONS LIMITED,NIVAKA,Nivaka Fashions Ltd,Active,XT,1.00,INE139E01028,Trading - Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
542216,DALMIA BHARAT LIMITED,DALBHARAT,Dalmia Bharat Ltd,Active,A ,2.00,INE00R701025,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
542230,Aditya Birla Sun Life Mutual Fund,ABSLNN50ET,Aditya Birla Sun Life Nifty Next 50 ETF,Active,B ,1.00,INF209KB16D7, ,Equity,-,-,-,-
542231,Nila Spaces Ltd,NILASPACES,Nila Spaces Ltd,Active,B ,1.00,INE00S901012,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
542232,Shankar Lal Rampal Dye-Chem Limited,SRD,Shankar Lal Rampal Dye-Chem Ltd,Active,B ,10.00,INE01NE01012,Trading - Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
542233,Trejhara Solutions Limited,TREJHARA,Trejhara Solutions Ltd,Active,T ,10.00,INE00CA01015,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
542244,Axis Mutual Fund,AXISCCDID,Axis Capital Builder Fund - Series 4 (1582 days) -,Suspended,B ,10.00,INF846K01K76, ,Equity,-,-,-,-
