SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
RKSWAMY,R K Swamy Limited,EQ,12-MAR-2024,5,1,INE0NQ801033,5
RML,Rane (Madras) Limited,EQ,30-AUG-2005,10,1,INE050H01012,10
ROHLTD,Royal Orchid Hotels Limited,EQ,06-FEB-2006,10,1,INE283H01019,10
ROLEXRINGS,Rolex Rings Limited,EQ,09-AUG-2021,10,1,INE645S01016,10
ROLLT,Rollatainers Limited,BE,22-NOV-2016,1,1,INE927A01040,1
ROML,Raj Oil Mills Limited,EQ,06-OCT-2020,10,1,INE294G01026,10
ROSSARI,Rossari Biotech Limited,EQ,23-JUL-2020,2,1,INE02A801020,2
ROSSELLIND,Rossell India Limited,EQ,25-SEP-2012,2,1,INE847C01020,2
ROTO,Roto Pumps Limited,EQ,21-APR-2022,2,1,INE535D01029,2
ROUTE,ROUTE MOBILE LIMITED,EQ,21-SEP-2020,10,1,INE450U01017,10
RPGLIFE,RPG Life Sciences Limited,EQ,10-JUN-2008,8,1,INE105J01010,8
RPOWER,Reliance Power Limited,BE,11-FEB-2008,10,1,INE614G01033,10
RPPINFRA,R.P.P. Infra Projects Limited,BE,06-DEC-2010,10,1,INE324L01013,10
RPPL,Rajshree Polypack Limited,BE,26-NOV-2021,10,1,INE760W01015,10
RPSGVENT,RPSG VENTURES LIMITED,EQ,25-JAN-2019,10,1,INE425Y01011,10
RPTECH,Rashi Peripherals Limited,EQ,14-FEB-2024,5,1,INE0J1F01024,5
RRKABEL,R R Kabel Limited,EQ,20-SEP-2023,5,1,INE777K01022,5
RSSOFTWARE,R. S. Software (India) Limited,BE,19-MAY-1999,5,1,INE165B01029,5
RSWM,RSWM Limited,EQ,15-FEB-1995,10,1,INE611A01016,10
RSYSTEMS,R Systems International Limited,EQ,26-APR-2006,1,1,INE411H01032,1
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-JUL-2012,2,1,INE834M01019,2
RTNPOWER,RattanIndia Power Limited,BE,30-OCT-2009,10,1,INE399K01017,10
RUBYMILLS,The Ruby Mills Limited,EQ,29-MAR-1995,5,1,INE301D01026,5
RUCHINFRA,Ruchi Infrastructure Limited,EQ,16-OCT-1996,1,1,INE413B01023,1
RUCHIRA,Ruchira Papers Limited,EQ,20-DEC-2006,10,1,INE803H01014,10
RUPA,Rupa & Company Limited,EQ,07-DEC-2011,1,1,INE895B01021,1
RUSHIL,Rushil Decor Limited,EQ,07-JUL-2011,10,1,INE573K01017,10
